key;name;file;file_alter_v;MS-50G;MS-60B;MS-70CDR;G1on;B1on;description;description rus;group name;group number;version
1;160 Comp;160_COMP.ZDL;;;MS-60B;MS-70CDR;G1on;B1on;This compressor is in the style of the dbx 160A;Компрессор в стиле dbx 160A;DYN;0x01;1.01
2;Comp;COMP.ZDL;;MS-50G;;MS-70CDR;G1on;;This compressor in the style of the MXR Dyna Comp;Компрессор в стиле MXR Dyna Comp ;DYN;0x01;1.00
3;D Comp;D_COMP.ZDL;;;MS-60B;;;B1on;This compressor in the style of the MXR Dyna Comp;Компрессор в стиле MXR Dyna Comp ;DYN;0x01;1.01
4;DirtyGate;DIRTYGTE.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This vintage style gate features a characteristic way of closing;Винтажный гейт с характерным закрытием;DYN;0x01;1.00
5;DualComp;DUAL_CMP.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a compressor which allows separate settings for the low frequency and high frequency range;Компрессор, позволяет раздельные настраивать низкочастотный и высокочастотный диапазоны;DYN;0x01;1.00
6;GrayComp;GRAYCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This models a ROSS Compressor;Моделирует ROSS компрессор;DYN;0x01;1.00
7;Limiter;LIMITER.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a limiter that suppresses signal peaks above a certain reference level;Лимитер, подавляет пики сигнала выше установленного уровня;DYN;0x01;1.01
8;M Comp;M_COMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;B1on;This compressor provides a more natural sound;Компрессор, обеспечивает очень натуральный звук;DYN;0x01;1.00
9;NoiseGate;NOISEGTE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This is a noise gate that cuts the sound during playing pauses;Шумодав, убирает шумы в паузах;DYN;0x01;1.00
10;OptComp;OPTCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This compressor is in the style of an APHEX Punch FACTORY;Компрессор выполнен в стиле APHEX Punch FACTORY;DYN;0x01;1.00
11;OrangeLim;ORANGELM.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This models an ORANGE SQUEEZER;Лимитер, моделирует ORANGE SQUEEZER;DYN;0x01;1.00
12;RackComp;RACKCOMP.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This compressor allows more detailed adjustment than Comp;Компрессор, позволяет осуществлять более тонкую настройку, чем Comp;DYN;0x01;1.00
13;SlowATTCK;SLWATK.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect slows the attack of each note, resulting in a violin-like performance;Эффект замедляет атаку каждой ноты, исполнение получается по типу скрипки;DYN;0x01;1.00
14;ZNR;ZNR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;'ZOOM''s unique noise reduction cuts noise during pauses in playing without affecting the tone';Уникальное подавление шума от ZOOM убирает шум в паузах во время исполнения, не влияя на тон;DYN;0x01;1.00
15;A-Filter;A_FILTER.ZDL;;;MS-60B;MS-70CDR;;B1on;This is a resonance filter with a sharp envelope;Резонансный фильтр с резкой огибающей;FLTR;0x02;1.01
16;AutoWah;AUTOWAH.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect varies wah in accordance with picking intensity;Эффект варьирует «вау-вау» в соответствии с интенсивностью звукоизвлечения;FLTR;0x02;1.00
17;Ba Cry;B_CRY.ZDL;;;MS-60B;MS-70CDR;;B1on;This talking modulator is suitable for the bass frequency range;Модулятор голоса для диапазона низких частот;FLTR;0x02;1.01
18;Ba GEQ;B_GEQ.ZDL;;;MS-60B;MS-70CDR;;B1on;This 7-band graphic equalizer is suitable for the bass frequency;7-полосный графический эквалайзер, подходит для низких частот;FLTR;0x02;1.01
19;Ba PEQ;B_PEQ.ZDL;;;MS-60B;MS-70CDR;;B1on;This 2-band parametric equalizer is suitable for the bass frequency range;2-полосный параметрический эквалайзер, подходит для диапазона низких частот;FLTR;0x02;1.01
20;BaAutoWah;B_ATWAH.ZDL;;;MS-60B;MS-70CDR;;B1on;You can adjust the mix of this bass guitar auto-wah with the original signal;Вы можете отрегулировать микс авто-вау с исходным сигналом бас-гитары ;FLTR;0x02;1.01
21;Bottom B;BOTTOM_B.ZDL;;;MS-60B;MS-70CDR;;B1on;Emphasizes the low and high frequencies;Подчеркивает низкие и высокие частоты;FLTR;0x02;1.01
22;CombFLTR;COMBFLTR.ZDL;;MS-50G;;MS-70CDR;;;This effect uses the comb filter that results from fixing the modulation of the flanger like an equalizer;Эффект использует гребенчатый фильтр, который получается в результате фиксации модуляции флэнжера, как эквалайзер;FLTR;0x02;1.00
23;Cry;CRY.ZDL;;MS-50G;;MS-70CDR;G1on;;This effect varies the sound like a talking modulator;Эффект варьирует звук как модулятор речи;FLTR;0x02;1.00
24;Exciter;EXCITER.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;Adjusts the depth of the compression;Регулирует глубину компрессии;FLTR;0x02;1.00
25;fCycle;FCYCLE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This filter effect changes tone characteristics cyclically;Эффект фильтра, циклически изменяет характеристики тона;FLTR;0x02;1.00
26;GraphicEQ;GEQ.ZDL;;MS-50G;;MS-70CDR;G1on;;This unit has a 6-band equalizer;6-полосный эквалайзер;FLTR;0x02;1.00
27;LineSel;LINESEL.ZDL;;MS-50G;MS-60B;MS-70CDR;;;Sound input into the LineSel effect is sent directly to the OUTPUT jacks when OFF and to the next effect in order when ON;Входной звук в эффекте LineSel отправляется напрямую в выходные разъемы, если выключен, и к следующему по порядку эффекту, если включен;FLTR;0x02;1.01
28;M-Filter;M_FILTER.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This envelope filter has the flavor of a Moog MF-101 low pass filter and can be set in a wide range;Огибающий фильтр, имеет оттенок низкочастотного фильтра Moog MF-101и может устанавливаться в широком диапазоне;FLTR;0x02;1.00
29;ParaEQ;PEQ.ZDL;;MS-50G;;MS-70CDR;G1on;;This is a 2-band parametric equalizer;2х-полосный параметрический эквалайзер;FLTR;0x02;1.00
30;Resonance;RESONS.ZDL;;MS-50G;;MS-70CDR;;;This effect varies the resonance filter frequency according to picking intensity;Эффект изменяет частоту резонансного фильтра в зависимости от интенсивности звукоизвлечения;FLTR;0x02;1.00
31;RndmFLTR;RNDMFLTR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This filter effect changes character randomly;Эффект фильтра, меняет характер случайным образом;FLTR;0x02;1.00
32;SeqFLTR;SEQFLTR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;The sequence filter has the flavor of a Z.Vex Seek-Wah;Фильтр симметричных составляющих, имеет оттенок Z.Vex Seek-Wah;FLTR;0x02;1.00
33;SlowFLTR;SLOWFLTR.ZDL;;MS-50G;;MS-70CDR;;;The frequency of this filter effect changes, triggered by picking;Частота фильтра изменяется, в зависимости от звукоизвлечения;FLTR;0x02;1.00
34;Splitter;SPLITTER.ZDL;;;MS-60B;MS-70CDR;;B1on;This effect divides the signal into two bands (high/low) and lets you freely adjust the mix ratio of the two bands;Эффект делит сигнал на две полосы (высокая / низкая) и позволяет регулировать соотношение микширования двух полос;FLTR;0x02;1.01
35;St Bs GEQ;ST_B_GEQ.ZDL;;;MS-60B;MS-70CDR;;;This stereo graphic equalizer has 7 bands that suit bass guitar frequencies;7-полосный графический стерео, которые подходят для бас-гитары;FLTR;0x02;1.00
36;St Gt GEQ;ST_G_GEQ.ZDL;;MS-50G;;MS-70CDR;;;This stereo graphic equalizer has 6 bands that suit guitar frequencies;6-полосный графический стерео, которые подходит для гитары;FLTR;0x02;1.00
37;Step;STEP.ZDL;;MS-50G;;MS-70CDR;G1on;B1on;This special effect gives the sound a stepped quality;Особый эффект, придает звуку оттенок ступенчатости;FLTR;0x02;1.00
38;Z Tron;Z_TRON.ZDL;;;MS-60B;MS-70CDR;;B1on;This is like a Q-Tron Envelope Filter in LP mode;Эффект похож на фильтр огибающей Q-Tron в режиме LP;FLTR;0x02;1.01
39;Aco.Sim;ACOSIM.ZDL;;MS-50G;;;G1on;;This effect changes the tone of an electric guitar to make it sound like an acoustic guitar;Этот эффект изменяет тон электрогитары, заставляя ее звучать как акустическую гитару;DRIVE;0x03;1.00
40;BG GRID;BGGRID.ZDL;;MS-50G;;;;;This models a Mesa Boogie GRID SLAMMER;Моделирует звук Mesa Boogie GRID SLAMMER;DRIVE;0x03;1.00
41;BG THROTTLE;BGTHRTTL.ZDL;;MS-50G;;;;;This models the sound of the Mesa Boogie THROTTLE BOX;Моделирует звук Mesa Boogie THROTTLE BOX;DRIVE;0x03;1.00
42;Booster;BOOSTER.ZDL;;MS-50G;;;G1on;;The booster increases signal gain to make the sound more powerful;Бустер, поднимает громкость сигнала, чтобы придать звуку более мощное звучание;DRIVE;0x03;1.00
43;CentaGold;CENTAGLD.ZDL;;MS-50G;;;;;This effect models a famous gold overdrive boutique pedal;Эффект моделирует знаменитую бутиковую педаль Gold Overdrive;DRIVE;0x03;1.00
44;Dist 1;DISTONE.ZDL;;MS-50G;;;G1on;;Simulation of the BOSS DS-1 distortion pedal, which has been a long-seller;Имитация BOSS DS-1 дисторшн педали, лидера продаж на протяжении долгого времени;DRIVE;0x03;1.00
45;Dist+;DISTPLUS.ZDL;;MS-50G;;;G1on;;Simulation of the MXR distortion+ effect that made distortion popular worldwide;Имитация MXR distortion+, сделавшего популярным дисторшн во всем мире;DRIVE;0x03;1.00
46;DYNAMIC DRIVE;DYNDRIVE.ZDL;;MS-50G;;;;;This effect easily achieves the warm drive tone of a tube amp;Эффект легко достигает теплого тона лампового усилителя;DRIVE;0x03;1.00
47;ExtremeDS;EXTRMDS.ZDL;;MS-50G;;;G1on;;This distortion effect boasts the highest gain in the world;Этот дисторшн эффект дает самый большой в мире коэффициент усиления;DRIVE;0x03;1.00
48;FuzzSmile;FUZZSML.ZDL;;MS-50G;;;G1on;;Simulation of the Fuzz Face, which has made rock history with its humorous panel design and smashing sound;Моделирует Fuzz Face, которая вошла в историю рока благодаря своему юмористическому дизайну  и потрясающему звуку;DRIVE;0x03;1.00
49;Governor;GOVERNOR.ZDL;;MS-50G;;;G1on;;'Simulation of the Guv''nor distortion effect from Marshall';'Моделирует дисторшн Gu''nor фирмы Marshall';DRIVE;0x03;1.00
50;GreatMuff;GRTMUFF.ZDL;;MS-50G;;;G1on;;Simulation of the Electro-Harmonix Big Muff, which is loved by famous artists around the world for its fat, sweet fuzz sound;Имитация Electro-Harmonic Big Muff, предпочитаемого известными музыкантами во всем мире за жирный, нежный фуз-звук;DRIVE;0x03;1.00
51;HotBox;HOTBOX.ZDL;;MS-50G;;;G1on;;Simulation of the compact Matchless Hotbox pre-amplifier with a built-in tube;Имитация компактного лампового предусилителя Matchless Hotbox;DRIVE;0x03;1.00
52;Lead;LEAD.ZDL;;MS-50G;;;G1on;;Lead a bright and smooth distortion sound;Яркий и ровный соло перегруз;DRIVE;0x03;1.00
53;MetalWRLD;MTLWRLD.ZDL;;MS-50G;;;G1on;;Simulation of the BOSS Metal Zone, which is characterized by long sustain and a powerful lower midrange;Имитация BOSS Metal Zone, который характеризуется долгим устойчивым и мощным низким диапазоном средних частот;DRIVE;0x03;1.00
54;NYC Muff;NYC_MUFF.ZDL;;MS-50G;;;;;This models an Electro-Harmonix Big Muff Pi;Моделирует Electro-Harmonix Big Muff Pi;DRIVE;0x03;1.00
55;OctFuzz;OCTFUZZ.ZDL;;MS-50G;;;;;This fuzz effect adds an octave above;Фуз с добавлением октавы вверх;DRIVE;0x03;1.00
56;OverDrive;OVRDRV.ZDL;;MS-50G;;;G1on;;"Simulation of the BOSS OD-1, the compact effect box that was the first to take the ""overdrive"" title";Симуляция BOSS OD-1, первым получившего звание «овердрайва»;DRIVE;0x03;1.00
57;RC Boost;RCBOOST.ZDL;;MS-50G;;;;;This booster covers sounds ranging from clean boosts to light drives;Бустер, звук варьируется от чистого, до легкого перегруза;DRIVE;0x03;1.00
58;RED CRUNCH;RED_CRU.ZDL;;MS-50G;;;;;"Use this effect for the famous ""brown sound""";"Используйте этот эффект для получения знаменитого ""brown sound""";DRIVE;0x03;1.00
59;Squeak;SQUEAK.ZDL;;MS-50G;;;G1on;;Simulation of the popular Pro Co Rat famous for its edgy distortion sound;Имитация популярной Pro Co Rat, известной своим резким дисторшн звуком;DRIVE;0x03;1.00
60;Sweet Drive;SWEETDRV.ZDL;;MS-50G;;;;;This effect models a sweet sounding overdrive;Моделирует приятный звук овердрайва;DRIVE;0x03;1.00
61;T Scream;T_SCREAM.ZDL;;MS-50G;;;G1on;;Simulation of the Ibanez TS808, which is loved by many guitarists as a booster and has inspired numerous clones;Имитация Ibanez TS808, предпочитаемого многими гитаристами как грелка и вдохновившая производителей на создание множества клонов;DRIVE;0x03;1.00
62;TB MK1.5;TB_MK15.ZDL;;MS-50G;;;;;This is a classic fuzz effect;Классический фуз;DRIVE;0x03;1.00
63;TS Drive;TS_DRIVE.ZDL;;MS-50G;;;;;Simulation of the Ibanez TS808;Моделирует Ibanez TS808;DRIVE;0x03;1.00
64;Z Bottom;Z_BOTTOM.ZDL;;MS-50G;;;;;A high gain sound that emphasizes low and middle frequencies;Хайгейн, который подчеркивает низкие и средние частоты;DRIVE;0x03;1.00
65;Z Clean;Z_CLEAN.ZDL;;MS-50G;;;G1on;;ZOOM original unadorned clean sound;Оригинальный неукрашенный чистый звук ZOOM;DRIVE;0x03;1.00
66;Z Dream;Z_DREAM.ZDL;;MS-50G;;;;;A high gain sound for lead playing based on the Mesa Boogie Road King Series II Lead channel;Хайгейн для соло партий, основ на  ведущем канале Mesa Boogie Road King Series II;DRIVE;0x03;1.00
67;Z MP1;Z_MP1.ZDL;;MS-50G;;;G1on;;An original sound created by merging characteristics of an ADA MP1 and a Marshall JCM800;Оригинальный звук, созданный путем слияния характеристик ADA MP1 и Marshall JCM800;DRIVE;0x03;1.00
68;Z Neos;Z_NEOS.ZDL;;MS-50G;;;;;A crunch sound modeled on the sound of a modified British class A combo amplifier;Кранч по образцу звука модифицированного British class A комбо усилителя;DRIVE;0x03;1.00
69;Z Scream;Z_SCREAM.ZDL;;MS-50G;;;G1on;;An original high gain sound balanced from low to high frequencies;Оригинальный хайгейн, сбалансированный от низких до высоких частот;DRIVE;0x03;1.00
70;Z Wild;Z_WILD.ZDL;;MS-50G;;;G1on;;A high gain sound with even more overdrive boost;Хайгейн с еще большим перегрузом;DRIVE;0x03;1.00
71;ALIEN;ALIEN.ZDL;;MS-50G;;;G1on;;This simulates the high-gain sound of the Engl Invader, which features a powerful low-end;Моделирует звук хайгейн канала Engl Invader, отличающегося мощными низами;AMP;0x04;1.00
72;B-BREAKER;B_BRKR.ZDL;;MS-50G;;;G1on;;This models the sound of a Marshall 1962 Bluesbreaker combo amp;Моделирует звук комбо усилителя Marshall 1962 Bluesbreaker;AMP;0x04;1.00
73;BG CRUNCH;BG_CRNCH.ZDL;;MS-50G;;;G1on;;Crunch sound of a Mesa Boogie MkIII combo amp;Кранч, моделирует комбо усилитель Mesa Boogie MkIII;AMP;0x04;1.00
74;BG DRIVE;BG_DRV.ZDL;;MS-50G;;;G1on;;The high gain sound of the Mesa Boogie Dual Rectifier red channel (Vintage mode);Хайгейн, моделирует красный канал (винтажный режим) Mesa Boogie Dual Rectifier;AMP;0x04;1.00
75;BGN DRIVE;BGN_DRV.ZDL;;MS-50G;;;G1on;;This simulates the lead sound from channel 3 of a Bogner Ecstasy;Моделирует соло звук канала 3 усилителя Bogner Ecstasy;AMP;0x04;1.00
76;CAR DRIVE;CAR_DRV.ZDL;;MS-50G;;;G1on;;This models the sound of a Carr Mercury high-end small combo amp;Моделирует звук небольшого хайэнд комбо усилителя Carr Mercury;AMP;0x04;1.00
77;DELUXE-R;DELUXE_R.ZDL;;MS-50G;;;G1on;;This models the sound of a Fender Deluxe Reverb made in 1965;Моделирует звук Fender Deluxe Reverb, выпущенного в 1965 ;AMP;0x04;1.00
78;DZ DRIVE;DZ_DRIVE.ZDL;;MS-50G;;;G1on;;The 3-channel high gain sound of a Diezel Herbert, which is a handmade German guitar amplifier that allows control of three independent channels;Трехканальный хайгейновый звук Diezel Herbert, изготовленного вручную немецкого усилителя для гитары, который позволяет управлять тремя независимыми каналами ;AMP;0x04;1.00
79;FD COMBO;FDCOMBO.ZDL;;MS-50G;;;G1on;;'Modeled sound of a Fender Twin Reverb (''65), which is loved by guitarists in various genres';'Моделирует звук Fender Twin Reverb (''65), любимый гитаристами разных жанров';AMP;0x04;1.00
80;FD VIBRO;FD_VIBRO.ZDL;;MS-50G;;;G1on;;'Modeled sound of a ''63 Fender Vibroverb';'Моделирует звук ''63 Fender Vibroverb';AMP;0x04;1.00
81;HW STACK;HW_STACK.ZDL;;MS-50G;;;G1on;;Modeled sound of the legendary Hiwatt Custom 100 all-tube amplifier from the UK;Моделирует звук легендарного полностью лампового усилителя Hiwatt Custom 100 из Великобритании;AMP;0x04;1.00
82;MATCH 30;MATCH_30.ZDL;;MS-50G;;;G1on;;Modeled sound of a DC-30 (channel 1), the Matchless flagship combo amp;Моделирует звук DC-30 (канал 1), флагманский комбо усилитель Matchless;AMP;0x04;1.00
83;MS 1959;MS_1959.ZDL;;MS-50G;;;G1on;;This models the sound of a Marshall 1959 Plexi made in 1969;Моделирует звук Marshall 1959 Plexi, изготовленного в 1969 ;AMP;0x04;1.00
84;MS CRUNCH;MSCRUNCH.ZDL;;MS-50G;;;G1on;;The crunch sound of the Marshall 1959 that has given birth to many legends;Кранч Marshall 1959, породивший множество легенд;AMP;0x04;1.00
85;MS DRIVE;MS_DRV.ZDL;;MS-50G;;;G1on;;The high gain sound of a JCM2000 Marshall stack amp;Хайгейн звук стека Marshall JCM2000;AMP;0x04;1.00
86;REVO-1;REVO_1.ZDL;;MS-50G;;;G1on;;This simulates the high-gain sound of a Krank Revolution 1 Plus;Моделирует хайгейн звук Krank Revolution 1 Plus;AMP;0x04;1.00
87;TANGERINE;TANGERIN.ZDL;;MS-50G;;;G1on;;This models the Orange Graphic 120 with its unique design and sound;Моделирует Orange Graphic 120  с его уникальным дизайном и звуком;AMP;0x04;1.00
88;TONE CITY;TONECITY.ZDL;;MS-50G;;;G1on;;This models the sound of a Sound City 50 Plus Mark 2, a legendary British amplifier;Моделирует звук Sound City 50 Plus Mark 2, легендарного британского усилителя;AMP;0x04;1.00
89;TW ROCK;TW_ROCK.ZDL;;MS-50G;;;G1on;;This crunch sound uses the drive channel of a Two Rock Emerald 50, an American boutique amplifier;Эффект перегрузки драйв канала Two Rock Emerald 50, американского бутикового усилителя ;AMP;0x04;1.00
90;US BLUES;US_BLUES.ZDL;;MS-50G;;;G1on;;Crunch sound of a Fender Tweed Bassman;Эффект перегрузки Fender Tweed Bassman;AMP;0x04;1.00
91;VX COMBO;VX_COMBO.ZDL;;MS-50G;;;G1on;;Modeled sound of a British combo amplifier representing the 1960s Liverpool sound;Моделирует звук British комбо усилителя, представляющего Ливерпульский звук  1960-х годов;AMP;0x04;1.00
92;VX JMI;VX_JMI.ZDL;;MS-50G;;;G1on;;This simulates the sound of an early model of a class-A British combo amp;Моделирует звук ранней модели класса А британского комбо усилителя ;AMP;0x04;1.00
93;Ba Boost;_B_BOOST.ZDL;B_BOOST.ZDL;;MS-60B;;;B1on;This is a simulation of the Xotic EP Booster, which is warm and firm;Моделирует Xotic EP Booster с теплым и плотным звуком;B_DRIVE;0x14;1.00
94;Bass OD;_B_OD.ZDL;B_OD.ZDL;;MS-60B;;;B1on;Simulates the ODB-3 overdrive bass machine from BOSS;Моделирует ODB-3 овердрайв бас машину от фирмы BOSS;B_DRIVE;0x14;1.00
95;Bass Muff;_BASSMUF.ZDL;BASSMUFF.ZDL;;MS-60B;;;B1on;This is a simulation of the Electro-Harmonix Bass Big Muff;Моделирует Electro-Harmonix Bass Big Muff;B_DRIVE;0x14;1.00
96;TS+DRY;_BASS_TS.ZDL;_BASS_TS.ZDL;;MS-60B;;;B1on;This Ibanez TS808 emulation has an added parameter that allows you to adjust the volume balance between the original and distorted sounds;Моделирует Ibanez TS808, имеет дополнительный параметр, который позволяет регулировать баланс громкости между оригинальным и искаженным звуками;B_DRIVE;0x14;1.00
97;Ba Dist 1;_B_DST_1.ZDL;B_DIST_1.ZDL;;MS-60B;;;B1on;This BOSS DS-1 emulation has an added parameter that allows you to adjust the volume balance between the original and distorted sounds;Моделирует BOSS DS-1, имеет дополнительный параметр, который позволяет регулировать баланс громкости между оригинальным и искаженным звуками;B_DRIVE;0x14;1.00
98;Ba Squeak;_B_SQUEK.ZDL;_B_SQUEK.ZDL;;MS-60B;;;B1on;This ProCo RAT emulation has an added parameter that allows you to adjust the volume balance between the original and distorted sounds;Моделирует ProCo RAT, имеет дополнительный параметр, который позволяет регулировать баланс громкости между оригинальным и искаженным звуками;B_DRIVE;0x14;1.00
99;BaFzSmile;_B_FZSML.ZDL;_B_FZSML.ZDL;;MS-60B;;;B1on;This FUZZ FACE emulation has an added parameter that allows you to adjust the volume balance between the original and distorted sounds;Моделирует FUZZ FACE, имеет дополнительный параметр, который позволяет регулировать баланс громкости между оригинальным и искаженным звуками;B_DRIVE;0x14;1.00
100;Ba Metal;_B_METAL.ZDL;B_METAL.ZDL;;MS-60B;;;B1on;This BOSS Metal Zone emulation has an added parameter that allows you to adjust the volume balance between the original and distorted sounds;Моделирует BOSS Metal Zone, имеет дополнительный параметр, который позволяет регулировать баланс громкости между оригинальным и искаженным звуками;B_DRIVE;0x14;1.00
101;BassDrive;_BASSDRV.ZDL;BASSDRV.ZDL;;MS-60B;;;B1on;Simulation of the SansAmp BASS DRIVER DI, highly popular among bass players;Моделирует SansAmp BASS DRIVER DI, очень популярного среди басистов;B_DRIVE;0x16;1.00
102;D.I Plus;_DI_PLUS.ZDL;DI_PLUS.ZDL;;MS-60B;;;B1on;This is a simulation of the MXR Bass D.I.+, which has both clean and distortion channels;Моделирует MXR Bass D.I.+, у которого есть чистый и перегруженный каналы;B_DRIVE;0x16;1.00
103;Bass BB;_BASS_BB.ZDL;BASS_BB.ZDL;;MS-60B;;;B1on;This is a simulation of the Xotic Bass BB Preamp, which has a tube-like, thick sound;Моделирует Xotic Bass BB Preamp с ламповым жирным звуком;B_DRIVE;0x16;1.00
104;DI5;_DI5.ZDL;DI5.ZDL;;MS-60B;;;B1on;This simulates the AVALON DESIGN U5 preamp;Моделирует предусилитель AVALON DESIGN U5;B_DRIVE;0x16;1.00
105;Bass Pre;_BAS_PRE.ZDL;BASS_PRE.ZDL;;MS-60B;;;B1on;This is a preamp model with a semi-parametric equalizer for the mid-range;Предусилитель с полупараметрическим эквалайзером для средних частот;B_DRIVE;0x16;1.00
106;AC Bs Pre;_AC_BPRE.ZDL;AC_B_PRE.ZDL;;MS-60B;;;B1on;This is a preamp model with a graphic equalizer;Предусилитель с графическим эквалайзером ;B_DRIVE;0x16;1.00
107;acoustic;_ACOSTIC.ZDL;ACOUSTIC.ZDL;;MS-60B;;;B1on;Simulation of the acoustic 360 well known for its gutsy midrange;Моделирует acoustic 360, хорошо известного своим выраженным средним диапазоном;B_AMP;0x05;1.00
108;Ag Amp;_AG_AMP.ZDL;AG_AMP.ZDL;;MS-60B;;;B1on;Simulation of the Aguilar DB750 famous for its powerful sound;Моделирует Aguilar DB750, известного своим мощным звуком;B_AMP;0x05;1.00
109;B-Man;_B_MAN.ZDL;B_MAN.ZDL;;MS-60B;;;B1on;Simulation of the Fender BASSMAN 100;Моделирует Fender BASSMAN 100;B_AMP;0x05;1.00
110;Flip Top;_FlipTop.ZDL;_FlipTop.ZDL;;MS-60B;;;B1on;Simulation of the Ampeg B-15 made famous by the Motown sound of the 1960s;Моделирует Ampeg B-15, прославившийся звуком Motown 1960-х годов;B_AMP;0x05;1.00
111;G-Krueger;_GKruegr.ZDL;_GKruegr.ZDL;;MS-60B;;;B1on;Simulation of the famous metal bass amp Gallien-Krueger 800RB from the eighties;Моделирует знаменитый металлический басовый усилитель Gallien-Krueger 800RB из восьмидесятых;B_AMP;0x05;1.00
112;Heaven;_Heaven.ZDL;_Heaven.ZDL;;MS-60B;;;B1on;This simulation of the Eden WT-800 can be used with a wide variety of playing styles;Моделирует Eden WT-800, может быть использован в разных стилях игры;B_AMP;0x05;1.00
113;HRT3500;_HRT3500.ZDL;HRT3500.ZDL;;MS-60B;;;B1on;Simulation of the Hartke HA3500 famous for its aluminum cone;Моделирует Hartke HA3500, известного своим алюминиевым конусом;B_AMP;0x05;1.00
114;Mark B;_MARK_B.ZDL;MARK_B.ZDL;;MS-60B;;;B1on;This simulates the Italian Markbass Little Mark III;Моделирует итальянский Markbass Little Mark III;B_AMP;0x05;1.00
115;Monotone;_Monoton.ZDL;_Monoton.ZDL;;MS-60B;;;B1on;Simulation of the POLYTONE MINI-BRUTE III with its distinct midrange, often used by Jazz musicians;Моделирует POLYTONE MINI-BRUTE III с его отчетливым средним диапазоном, часто используемым джазовыми музыкантами;B_AMP;0x05;1.00
116;SMR;_SMR.ZDL;_SMR.ZDL;;MS-60B;;;B1on;Simulation of the SWR SM-900, famous for its hi-fi sound;Моделирует SWR SM-900, известного своим Hi-Fi звуком;B_AMP;0x05;1.00
117;SuperB;_SuperB.ZDL;_SuperB.ZDL;;MS-60B;;;B1on;Simulation of the Marshall Super Bass that made rock history;Моделирует Marshall Super Bass, который вошел в историю рока ;B_AMP;0x05;1.00
118;SVT;_SVT.ZDL;SVT.ZDL;;MS-60B;;;B1on;Simulation of the ultimate rock bass amp, the Ampeg SVT;Моделирует идеальный роковый бас усилитель Ampeg SVT ;B_AMP;0x05;1.00
119;ANA234Cho;ANA234CH.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This analog chorus sound models the MXR M234;Моделирует эффект аналогового хоруса MXR M234;MOD;0x06;1.00
120;Ba Chorus;B_CHORUS.ZDL;;;MS-60B;MS-70CDR;;B1on;You can cut the low frequencies of this bass chorus effect sound;Вы можете вырезать низкие частоты в звучании этого басового хоруса;MOD;0x06;1.01
121;Ba Detune;B_DETUNE.ZDL;;;MS-60B;MS-70CDR;;B1on;By mixing a small amount of the pitch-shifted effect sound with the original sound, a natural bass chorus effect is achieved;Подмешивание небольшого количества слегка сдвинутого по частоте звука к оригинальному сигналу, что дает эффект натурального басового хоруса;MOD;0x06;1.01
